skill_id,skill_name,skill_type,reuse_level,esco_skill_id,description
publishing-strategy,publishing strategy,knowledge,sector-specific,key_12906,"The methods, rules, media and tools of publishing content from content management systems in single sources or cross media."
maintain-database-performance,maintain database performance,skill/competence,sector-specific,key_12909,Calculate values for database parameters. Implement new releases and execute regular maintenance tasks such as establishing backup strategies and eliminating index fragmentation.
product-comprehension,product comprehension,knowledge,sector-specific,key_12911,"The offered products, their functionalities, properties and legal and regulatory requirements."
ict-network-cable-limitations,ICT network cable limitations,knowledge,sector-specific,key_12915,"The limitations, such as distance limitations and resistance of types of cables, such as fibre cable, coax cable and ethernet cable which are used for realising networks."
execute-feasibility-study,execute feasibility study,skill/competence,cross-sector,key_12936,"Perform the evaluation and assessment of the potential of a project, plan, proposition or new idea. Realise a standardised study which is based on extensive investigation and research to support the process of decision making."
maintain-sound-equipment,maintain sound equipment,skill/competence,sector-specific,key_12943,"Set up, check, maintain and repair sound equipment for a live performance establishment."
guarantee-customer-satisfaction,guarantee customer satisfaction,skill/competence,sector-specific,key_1296,"Handle customer expectations in a professional manner, anticipating and addressing their needs and desires. Provide flexible customer service to ensure customer satisfaction and loyalty."
operate-precision-machinery,operate precision machinery,skill/competence,cross-sector,key_12969,Operate machinery used for the making of small systems or components with a high level of precision.
domotic-systems,domotic systems,knowledge,sector-specific,key_12975,"Residential intelligent building installations for lighting, heating, security, etc that can be controlled remotely. Domotic systems aim at improving the quality of life inside houses and buildings, including enhancing the independence of people with disabilities and contributing to energy saving."
perform-quality-audits,perform quality audits,skill/competence,cross-sector,key_12979,"Execute regular, systematic and documented examinations of a quality system for verifying conformity with a standard based on objective evidence such as the implementation of processes, effectiveness in achieving quality goals and reduction and elimination of quality problems."
manage-environmental-impact-of-operations,manage environmental impact of operations,skill/competence,cross-sector,key_12992,"Manage the interaction with and impact on the environment by companies. Identify and assess environmental impacts of the production process and related services, and regulate a reduction of the effects on the environment and on people. Organise action plans and monitor any indicators of improvement."
taleo,Taleo,knowledge,sector-specific,key_12999,"The computer program Taleo is a e-learning platform for creating, administrating, arranging, reporting and delivering e-learning education courses or training programs."
android-mobile-operating-systems,Android (mobile operating systems),knowledge,sector-specific,key_13001,"The system software Android consists of features, restrictions, architectures and other characteristics of operating systems designed to run on mobile devices."
mechatronics,mechatronics,knowledge,cross-sector,key_13004,"Multidisciplinary field of engineering that combines principles of electrical engineering, telecommunications engineering, control engineering, computer engineering, and mechanical engineering in the design of products and manufacturing processes. The combination of these areas of engineering allows for the design and development of ""smart"" devices and the achievement of an optimal balance between"
cad-for-garment-manufacturing,CAD for garment manufacturing,knowledge,sector-specific,key_13024,Softwares of computer aided design for garment manufacturing which allow create 2 or 3 dimensional drawings.
use-e-services,use e-services,skill/competence,cross-sector,key_13028,"Use public and private online services, such as e-commerce, e-governance, e-banking, e-health services."
post-processing-of-photographs,post-processing of photographs,knowledge,cross-sector,key_13029,The characteristics of software and techniques used in post-processing photographs.
practise-camera-movements,practise camera movements,skill/competence,occupation-specific,key_13035,Practise operating the camera and the required movements for pre-arranged shots.
set-up-the-controller-of-a-machine,set up the controller of a machine,skill/competence,cross-sector,key_13059,Set up and give commands to a machine by dispatching the appropriate data and input into the (computer) controller corresponding with the desired processed product.
gather-reference-materials-for-artwork,gather reference materials for artwork,skill/competence,sector-specific,key_13070,"Gather samples of the materials you expect to use in the creation process, especially if the desired piece of art necessitates the intervention of qualified workers or specific production processes."
define-technical-requirements,define technical requirements,skill/competence,cross-sector,key_13073,"Specify technical properties of goods, materials, methods, processes, services, systems, software and functionalities by identifying and responding to the particular needs that are to be satisfied according to customer requirements."
teradata-database,Teradata Database,knowledge,sector-specific,key_13074,"The computer program Teradata Database is a tool for creating, updating and managing databases, developed by the software company Teradata Corporation."
analyse-network-bandwidth-requirements,analyse network bandwidth requirements,skill/competence,sector-specific,key_13078,Study the requirements on the transmission capacity of an ICT network or other telecommunication system.
lean-project-management,Lean project management,knowledge,sector-specific,key_13099,"The lean project management approach is a methodology for planning, managing and overseeing of ICT resources in order to meet specific goals and using project management ICT tools."
manage-open-publications,manage open publications,skill/competence,cross-sector,key_13106,"Be familiar with Open Publication strategies, with the use of information technology to support research, and with the development and management of CRIS (current research information systems) and institutional repositories. Provide licensing and copyright advice, use bibliometric indicators, and measure and report research impact."
identify-ict-system-weaknesses,identify ICT system weaknesses,skill/competence,sector-specific,key_13114,"Analyse the system and network architecture, hardware and software components and data in order to identify weaknesses and vulnerability to intrusions or attacks. Execute diagnostic operations on cyber infrastructure including research, identification, interpretation and categorization of vulnerabilities, associated attacks and malicious code (e.g. malware forensics and malicious network activity)"
develop-design-concept,develop design concept,skill/competence,sector-specific,key_13118,"Research information to develop new ideas and concepts for the design of a specific production. Read scripts and consult directors and other production staff members, in order to develop design concepts and plan productions."
kdevelop,KDevelop,knowledge,sector-specific,key_1313,"The computer program KDevelop is a suite of software development tools for writing programs, such as compiler, debugger, code editor, code highlights, packaged in a unified user interface. It is developed by the software community KDE."
properties-of-fabrics,properties of fabrics,knowledge,cross-sector,key_13131,"The influence of chemical composition and molecular arrangement of yarn and fibre properties and fabric structure on the physical properties of textile fabrics; the different fibre types, their physical and chemical characteristics and different material characteristics; the materials used in different processes and the effect on materials as they are processed."
support-ict-system-users,support ICT system users,skill/competence,sector-specific,key_13136,"Communicate with end users, instruct them on how to progress with tasks, use ICT support tools and methods to solve problems and identify possible side effects and provide solutions."
assemble-mechatronic-units,assemble mechatronic units,skill/competence,sector-specific,key_13141,"Assemble mechatronic units using mechanical, pneumatic, hydraulic, electrical, electronic, and information technology systems and components. Manipulate and attach metals through using welding and soldering techniques, glue, screws, and rivets. Install wiring. Install drive systems, sensors, actuators, and transducers. Mount switches, control devices, coverings, and protection."
agile-development,Agile development,knowledge,sector-specific,key_13167,The agile development model is a methodology to design software systems and applications.
build-business-relationships,build business relationships,skill/competence,cross-sector,key_13210,"Establish a positive, long-term relationship between organisations and interested third parties such as suppliers, distributors, shareholders and other stakeholders in order to inform them of the organisation and its objectives."
maintain-safe-engineering-watches,maintain safe engineering watches,skill/competence,sector-specific,key_13211,"Observe principles in keeping an engineering watch. Take over, accept and hand over a watch. Perform routine duties undertaken during a watch. Maintain the machinery space logs and the significance of the readings taken. Observe safety and emergency procedures. Observe safety precautions during a watch and take immediate actions in the event of fire or accident, with particular reference to oil sy"
apply-health-and-safety-standards,apply health and safety standards,skill/competence,cross-sector,key_13225,Adhere to standards of hygiene and safety established by respective authorities.
maintenance-of-printing-machines,maintenance of printing machines,knowledge,sector-specific,key_13228,Upkeep procedures and technical working of machines that produce printed graphical material.
adjust-manufacturing-equipment,adjust manufacturing equipment,skill/competence,cross-sector,key_13229,"Regulate and monitor the manufacturing equipment settings and process parameters, such as its temperature and power level. Review the manufacturing process and equipment and suggest improvements."
vbscript,VBScript,knowledge,sector-specific,key_13232,"The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in VBScript."
maintain-system-layout-for-a-production,maintain system layout for a production,skill/competence,sector-specific,key_13238,Establish a workable layout for the system you manage and maintain it for the duration of a production.
align-antennae-with-receiving-dishes,align antennae with receiving dishes,skill/competence,occupation-specific,key_13248,Align antennae with receiving dishes to obtain the clearest signal for transmission of broadcasts from field locations.
lead-disaster-recovery-exercises,lead disaster recovery exercises,skill/competence,sector-specific,key_13270,"Head exercises which educate people on what to do in case of an unforeseen disastrous event in the functioning or security of ICT systems, such as on recovery of data, protection of identity and information and which steps to take in order to prevent further problems."
computer-technology,computer technology,knowledge,cross-sector,key_13274,"Computers, computer networks and other information technologies and equipment that can store, retrieve, transmit and manipulate data."
identify-ict-user-needs,identify ICT user needs,skill/competence,sector-specific,key_13283,"Determine the needs and requirements of ICT users of a specific system by applying analytical methods, such as target group analysis."
marketing-principles,marketing principles,knowledge,cross-sector,key_13285,The principles of managing the relationship between consumers and products or services for the purpose of increasing sales and improving advertising techniques.
software-interaction-design,software interaction design,knowledge,sector-specific,key_13288,The methodologies for designing interaction between users and a software product or service to satisfy the needs and preferences of most of the people who will interface with the product and to simplify the communication between product and user such as Goal-oriented design.
penetration-testing-tool,penetration testing tool,knowledge,sector-specific,key_13301,"The specialised ICT tools which test security weaknesses of the system for potentially unauthorised access to system information such as Metasploit, Burp suite and Webinspect."
demonstrate-products-features,demonstrate products' features,skill/competence,sector-specific,key_13308,"Demonstrate how to use a product in a correct and safe manner, provide customers with information on the product's main features and benefits, explain operation, correct use and maintenance. Persuade potential customers to purchase items."
oracle-relational-database,Oracle Relational Database,knowledge,sector-specific,key_13317,"The computer program Oracle Rdb is a tool for creating, updating and managing databases, developed by the software company Oracle."
standard-sizing-systems-for-clothing,standard sizing systems for clothing,knowledge,sector-specific,key_13323,"Standard sizing systems for clothing developed by different countries. Differences among the systems and standards of different countries, the development of the systems according to the evolution of the shape of the human body and their usage in the clothing industry."
provide-customer-follow-up-services,provide customer follow-up services,skill/competence,cross-sector,key_13325,"Register, follow-up, solve and respond to customer requests, complaints and after-sales services."
electronic-communication,electronic communication,knowledge,cross-sector,key_13327,"Data communication performed through digital means such as computers, telephone or e-mail."
absorb-learning-management-systems,Absorb (learning management systems),knowledge,sector-specific,key_1333,"The learning system Absorb is an e-learning platform for creating, administrating and delivering e-learning education courses or training programs for secondary school students."
cobol,COBOL,knowledge,sector-specific,key_13334,"The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in COBOL."
utilise-decision-support-system,utilise decision support system,skill/competence,sector-specific,key_13335,Use the available ICT systems that can be used to support business or organisational decision making.
ensure-material-compliance,ensure material compliance,skill/competence,sector-specific,key_13337,Ensure that the materials provided by suppliers comply with the specified requirements.
edit-photographs,edit photographs,skill/competence,sector-specific,key_13338,"Resize, enhance and retouche photographs, using airbrushing, editing software and other techniques."
maintain-control-systems-for-automated-equipment,maintain control systems for automated equipment,skill/competence,sector-specific,key_13340,"Check, maintain and repair electrical and electronic elements. Check and update software of automated equipment."
protect-ict-devices,protect ICT devices,skill/competence,cross-sector,key_13344,"Protect devices and digital content, and understand risks and threats in digital environments. Know about safety and security measures and have due regard to reliability and privacy. Make use of tools and methods which maximise security of ICT devices and information by controlling access, such as passwords, digital signatures, biometry, and protecting systems such as firewall, antivirus, spam fil"
design-thinking,design thinking,knowledge,cross-sector,key_13354,"The process used to identify creative solutions to problem solving, by putting the user at its core. The five stages approach-empathise, define, ideate, prototype and test-are meant to challenge assumptions and iterate solutions that are better suited to the needs of the user."
create-content-title,create content title,skill/competence,cross-sector,key_13358,"Come up with an appealing title that draws people's attention to the content of your article, story or publication."
provide-multimedia-content,provide multimedia content,skill/competence,sector-specific,key_13366,"Develop multimedia materials such as screen shots, graphics, slide shows, animations and videos to be used as content integrated in a broader informational context."
set-up-sound-reinforcement-system,set up sound reinforcement system,skill/competence,sector-specific,key_13370,Set up an analogue sound reinforcement system in a live situation.
design-for-organisational-complexity,design for organisational complexity,skill/competence,sector-specific,key_13384,"Determine cross-account authentication and access strategy for complex organizations (for example, an organization with varying compliance requirements, multiple business units, and varying scalability requirements). Design networks and multi-account cloud environments for complex organizations."
hardware-architectures,hardware architectures,knowledge,sector-specific,key_13398,The designs laying out the physical hardware components and their interconnections.
plan-audiovisual-recording,plan audiovisual recording,skill/competence,cross-sector,key_13412,Plan audio-visual recordings.
monitor-communication-channels-performance,monitor communication channels' performance,skill/competence,sector-specific,key_13413,Search for possible faults. Perform visual checks. Analyse system indicators and use diagnostic devices.
keep-up-to-date-on-product-knowledge,keep up to date on product knowledge,skill/competence,sector-specific,key_1344,"Gather the latest information on developments related to the existing or supported products, methods or techniques."
establish-an-ict-customer-support-process,establish an ICT customer support process,skill/competence,sector-specific,key_13476,"Create a series of customer ICT service activities before, during and after a request. Ensure an adequate response or action, enhance the level of customer satisfaction and accumulate ICT product or service feedback."
control-of-expenses,control of expenses,skill/competence,cross-sector,key_13482,"Monitor and maintain effective cost controls, in regards to efficiencies, waste, overtime and staffing. Assessing excesses and strives for efficiency and productivity."
estimate-duration-of-work,estimate duration of work,skill/competence,cross-sector,key_13484,Produce accurate calculations on time necessary to fulfil future technical tasks based on past and present information and observations or plan the estimated duration of individual tasks in a given project.
copyright-legislation,copyright legislation,knowledge,cross-sector,key_13487,"Legislation describing the protection of the rights of original authors over their work, and how others can use it."
troubleshoot-website,troubleshoot website,skill/competence,occupation-specific,key_13493,"Detect the flaws and malfunctions of a website. Apply troubleshooting techniques on content, structure, interface and interactions in order to find the causes and solve the malfunctions."
advise-on-teaching-methods,advise on teaching methods,skill/competence,cross-sector,key_13519,"Advise education professionals on the proper adaptation of curricula in lesson plans, classroom management, professional conduct as a teacher, and other activities and methods related to teaching."
analyse-the-artistic-concept-based-on-stage-actions,analyse the artistic concept based on stage actions,skill/competence,sector-specific,key_1352,"Analyse the artistic concept, form and structure of a live performance based on observation during rehearsals or improvisation. Create a structured base for the design process of a specific production."
migrate-existing-data,migrate existing data,skill/competence,sector-specific,key_1353,"Apply migration and conversion methods for existing data, in order to transfer or convert data between formats, storage or computer systems."
set-up-projection-equipment,set up projection equipment,skill/competence,sector-specific,key_13530,Install and connect equipment for projection in an artistic context.
product-data-management,product data management,knowledge,cross-sector,key_13532,"The use of software to track all information concerning a product such as technical specifications, drawings, design specifications, and production costs."
test-ict-queries,test ICT queries,skill/competence,occupation-specific,key_13538,Assess that developed queries return and execute correct actions and data.
manage-supplies,manage supplies,skill/competence,cross-sector,key_1354,"Monitor and control the flow of supplies that includes the purchase, storage and movement of the required quality of raw materials, and also work-in-progress inventory. Manage supply chain activities and synchronise supply with demand of production and customer."
instructional-design-models,instructional design models,knowledge,sector-specific,key_13544,The guidelines or strategies for designing and developing instructions to ensure learners achieve the intended learning outcomes.
define-database-physical-structure,define database physical structure,skill/competence,sector-specific,key_1358,"Specify the physical configuration of database files on a given media. This consists of in-detail specifications of indexing options, data types and data elements placed in the data dictionary."
apply-intercultural-teaching-strategies,apply intercultural teaching strategies,skill/competence,cross-sector,key_13584,"Ensure that the content, methods, materials and the general learning experience is inclusive for all students and takes into account the expectations and experiences of learners from diverse cultural backgrounds. Explore individual and social stereotypes and develop cross-cultural teaching strategies."
environmental-management-monitors,environmental management monitors,knowledge,sector-specific,key_13585,The hardware and equipment suitable for measurement and live monitoring of environmental parameters.
hadoop,Hadoop,knowledge,sector-specific,key_13603,"The open-source data storing, analysis and processing framework which consists mainly in the MapReduce and Hadoop distributed file system (HDFS) components and it is used to provide support for managing and analysing large datasets."
principles-of-artificial-intelligence,principles of artificial intelligence,knowledge,sector-specific,key_13604,"The artificial intelligence theories, applied principles, architectures and systems, such as intelligent agents, multi-agent systems, expert systems, rule-based systems, neural networks, ontologies and cognition theories."
tend-lathe,tend lathe,skill/competence,cross-sector,key_13617,"Tend a lathe designed for cutting manufacturing processes on metal, wooden, plastic materials and others, monitor and operate it, according to regulations."
maltego,Maltego,knowledge,sector-specific,key_1365,"The platform Maltego is a forensic application that uses data mining to deliver on overview of organisations' environment, testing security weaknesses of the system for potentially unauthorised access and demonstrates the complexity of infrastructure failures."
train-employees,train employees,skill/competence,cross-sector,key_13655,Lead and guide employees through a process in which they are taught the necessary skills for the perspective job. Organise activities aimed at introducing the work and systems or improving the performance of individuals and groups in organisational settings.
ict-market,ICT market,knowledge,sector-specific,key_13658,"The processes, stakeholders and the dynamics of the chain of goods and services in the ICT market sector."
identify-potential-markets-for-companies,identify potential markets for companies,skill/competence,cross-sector,key_13659,Observe and analyse market research findings in order to determine promising and profitable markets. Consider the firm's specific advantage and match it with markets where such value proposition is missing.
sas-data-management,SAS Data Management,knowledge,sector-specific,key_13674,"The computer program SAS Data Management is a tool for integration of information from multiple applications, created and maintained by organisations, into one consistent and transparent data structure, developed by the software company SAS."
implement-a-firewall,implement a firewall,skill/competence,sector-specific,key_13677,"Download, install and update a network security system designed to prevent unauthorized access to a private network."
manage-keys-for-data-protection,manage keys for data protection,skill/competence,sector-specific,key_13679,"Select appropriate authentication and authorization mechanisms. Design, implement and troubleshoot key management and use. Design and implement a data encryption solution for data at rest and data in transit."
css,CSS,knowledge,sector-specific,key_13684,"The computer language CSS is a style sheet language that conveys the presentation of structured documents. These documents have to adhere to style sheets, a set of stylistic rules such as font, color and layout."
audiovisual-equipment,audiovisual equipment,knowledge,sector-specific,key_13699,The characteristics and usage of different tools that stimulate the sight and audio senses.
create-2d-painting,create 2D painting,skill/competence,cross-sector,key_13702,Produce a drawing by using a range of digital tools.
optoelectronics,optoelectronics,knowledge,cross-sector,key_13715,Branch of electronics and optics dedicated to the study and use of electronic devices that detect and control light.
software-components-suppliers,software components suppliers,knowledge,sector-specific,key_13729,The suppliers who can deliver the required software components.
sales-strategies,sales strategies,knowledge,sector-specific,key_13753,The principles concerning customer behaviour and target markets with the aim of promotion and sales of a product or a service.
content-development-processes,content development processes,knowledge,cross-sector,key_13762,"The specialised techniques used to design, write, compile, edit and organise digital content, such as text, graphics and videos for publishing purposes."
interpret-electronic-design-specifications,interpret electronic design specifications,skill/competence,sector-specific,key_13764,Analyse and understand detailed electronic design specifications.
whitehat-sentinel,WhiteHat Sentinel,knowledge,sector-specific,key_13776,"The computer program WhiteHat Sentinel is a specialised ICT tool which tests security weaknesses of the system for potentially unauthorised access to system information, developed by the software company WhiteHat Security."
render-3d-images,render 3D images,skill/competence,cross-sector,key_13799,Use specialised tools to convert 3D wire frame models into 2D images with 3D photorealistic effects or non-photorealistic rendering on a computer.
marklogic,MarkLogic,knowledge,sector-specific,key_13800,"The NoSQL enterprise non-relational database used for creating, updating and managing large amounts of unstructured data stored in the cloud and which provides features such as semantics, flexible data models and Hadoop integration."
audio-mastering,audio mastering,knowledge,sector-specific,key_13802,The post-production process where the finished recorded audio is transferred to a data storage device from which it will be copied.
robotics,robotics,knowledge,cross-sector,key_13822,"The branch of engineering that involves the design, operation, manufacture, and application of robots. Robotics is part of mechanical engineering, electrical engineering, and computer science and overlaps with mechatronics and automation engineering."
circuit-diagrams,circuit diagrams,knowledge,sector-specific,key_1383,"Read and comprehend circuit diagrams showing the connections between the devices, such as power and signal connections."
pascal-computer-programming,Pascal (computer programming),knowledge,sector-specific,key_13833,"The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in Pascal."
operate-sound-live,operate sound live,skill/competence,sector-specific,key_13835,Operate sound system and audio devices during rehearsals or in a live situation.
draw-up-artistic-production,draw up artistic production,skill/competence,sector-specific,key_1384,File and document a production in all its phases right after the performance period so that it can be reproduced and all relevant information remains accessible.
compose-description-for-web-elements,compose description for web elements,skill/competence,occupation-specific,key_13842,"Create texts to convey the message of a web element, such as images or frames, even in cases when it cannot be displayed to the user."
create-moving-images,create moving images,skill/competence,sector-specific,key_13846,Create and develop two-dimensional and three-dimensional images in motion and animations.
oversee-extra-curricular-activities,oversee extra-curricular activities,skill/competence,cross-sector,key_13858,Supervise and potentially organise educational or recreational activities for the students outside of mandatory classes.
prepare-production-prototypes,prepare production prototypes,skill/competence,cross-sector,key_13860,Prepare early models or prototypes in order to test concepts and replicability possibilities. Create prototypes to assess for pre-production tests.
assess-financial-viability,assess financial viability,skill/competence,cross-sector,key_13871,"Revise and analyse financial information and requirements of projects such as their budget appraisal, expected turnover, and risk assessment for determining the benefits and costs of the project. Assess if the agreement or project will redeem its investment, and whether the potential profit is worth the financial risk."
set-up-automotive-robot,set up automotive robot,skill/competence,cross-sector,key_13876,"Set up and programme an automotive robot working on machine processes and substituting or collaboratively supporting human labour, such as the six-axis automotive robot."
use-pattern-cutting-softwares,use pattern-cutting softwares,skill/competence,sector-specific,key_13891,"Use pattern-cutting softwares in order to create templates for the manufacturing of wearing apparel, made-up textile articles, and textile products. Set adequate patterns in softwares for replicability of products taking into account sizes and shapes."
work-with-an-artistic-team,work with an artistic team,skill/competence,sector-specific,key_13906,"Work closely with directors, fellow actors and playwrights to find the ideal interpretation to a role."
document-management,document management,knowledge,sector-specific,key_13914,"The methodology of tracking, managing and storing documents in a systematic and organised manner as well as keeping a record of the versions created and modified by specific users (history tracking)."
execute-integration-testing,execute integration testing,skill/competence,sector-specific,key_13920,"Perform testing of system or software components grouped in multiple ways to evaluate their ability to interconnect, their interface and their ability to provide global functionality."
provide-legal-advice,provide legal advice,skill/competence,cross-sector,key_13923,"Provide advice to clients in order to ensure that their actions are compliant with the law, as well as most beneficial for their situation and specific case, such as providing information, documentation, or advice on the course of action for a client should they want to take legal action or legal action is taken against them."
adapt-developed-game-to-the-market,adapt developed game to the market,skill/competence,sector-specific,key_13933,Follow gaming trends in order to adjust the development of new games to the current needs of the market.
analyse-legal-enforceability,analyse legal enforceability,skill/competence,cross-sector,key_13958,"Examine the client's present situation, ideas and wishes under a legal perspective to assess their legal justification or enforceability."
abap,ABAP,knowledge,sector-specific,key_13967,"The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in ABAP."
use-session-border-controller,use session border controller,skill/competence,sector-specific,key_13971,Manage calls during a given voice over Internet Protocol (VoIP) session and ensure security and quality of service by operating a session border controller (SBC).
cinematography,cinematography,knowledge,sector-specific,key_13979,The science of recording light and electromagnetic radiation in order to create a motion picture. The recording can happen electronically with an image sensor or chemically on light sensitive materials such as film stock.
replicate-customer-software-issues,replicate customer software issues,skill/competence,sector-specific,key_13980,Use specialised tools to replicate and analyse the conditions that caused the set of software states or outputs reported by the customer in order to provide adequate solutions.
development-delays,development delays,knowledge,cross-sector,key_14006,The condition in which a child or adult needs more time to reach certain development milestones than that needed by the average person not affected by a development delay.
set-up-basic-recording,set up basic recording,skill/competence,sector-specific,key_14024,Set up a basic stereo audio recording system.
process-customer-orders,process customer orders,skill/competence,cross-sector,key_14035,"Handle orders placed by customers. Receive the customer order and define a list of requirements, a working process, and a time frame. Execute the work as planned."
maintain-database-security,maintain database security,skill/competence,sector-specific,key_14041,Master a wide variety of information security controls in order to pursue maximal database protection.
store-performance-equipment,store performance equipment,skill/competence,sector-specific,key_14050,"Dismantle sound, light and video equipment after a performance event and store in a safe place."
deep-learning,deep learning,knowledge,cross-sector,key_14055,"The principles, methods and algorithms of deep learning, a subfield of artificial intelligence and machine learning. Common neural networks like perceptrons, feed-forward, backpropagation, and convolutional and recurrent neural networks."
organise-projects-to-fill-education-needs,organise projects to fill education needs,skill/competence,cross-sector,key_14062,"Fill education gaps by organising projects and activities that help people to grow academically, socially or emotionally."
work-with-the-lighting-crew,work with the lighting crew,skill/competence,cross-sector,key_14065,Work with the crew responsible for the lighting setup and operation to get directions from them on where to stand for an aesthetic result.
apply-good-clinical-practices,apply good clinical practices,skill/competence,sector-specific,key_14066,"Ensure compliance with and application of the ethical and scientific quality standards used to conduct, record and report clinical trials that involve human participation, at an international level."
develop-audit-plan,develop audit plan,skill/competence,cross-sector,key_14073,"Define all organisational tasks (time, place and order) and develop a checklist concerning the topics to be audited."
prototyping-development,Prototyping development,knowledge,sector-specific,key_14081,The prototyping development model is a methodology to design software systems and applications.
hardware-components-suppliers,hardware components suppliers,knowledge,sector-specific,key_14082,The suppliers who can deliver the required hardware components.
conduct-mobile-marketing,conduct mobile marketing,skill/competence,cross-sector,key_14087,Conduct mobile marketing using a mobile device e.g. tablet or smartphone. Gather personalised information and transfer it to customers in order to promote services or goods.
ict-performance-analysis-methods,ICT performance analysis methods,knowledge,sector-specific,key_14088,"The methods used to analyse software, ICT system and network performance which provide guidance to root causes of issues within information systems. The methods can analyse resource bottlenecks, application times, wait latencies and benchmarking results."
erlang,Erlang,knowledge,sector-specific,key_1409,"The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in Erlang."
scientific-research-methodology,scientific research methodology,knowledge,cross-sector,key_14091,"The theoretical methodology used in scientific research involving doing background research, constructing an hypothesis, testing it, analysing data and concluding the results."
liaise-with-educational-staff,liaise with educational staff,skill/competence,cross-sector,key_14095,"Communicate with the school staff such as teachers, teaching assistants, academic advisors, and the principal on issues relating to students' well-being. In the context of a university, liaise with the technical and research staff to discuss research projects and courses-related matters."
analyse-information-systems,analyse information systems,skill/competence,occupation-specific,key_14096,"Conduct analyses of information systems such as archives, libraries and documentation centers to verify their effectiveness. Develop specific problem solving techniques in order to improve the performance of the systems."
integrate-system-components,integrate system components,skill/competence,sector-specific,key_14106,Select and use integration techniques and tools to plan and implement integration of hardware and software modules and components in a system.
curriculum-objectives,curriculum objectives,knowledge,cross-sector,key_14128,The goals identified in curricula and defined learning outcomes.
ict-environmental-policies,ICT environmental policies,knowledge,occupation-specific,key_14131,"The international and organisational policies which deal with the assessment of the environmental impact of innovations and developments in the field of ICT, as well as with methods for reducing negative impact and applying ICT innovations to aid the environment."
analog-electronics-theory,analog electronics theory,knowledge,sector-specific,key_14134,The theory based on analogue circuits in which volumes (voltage or current) continuously vary over time.
verify-formal-ict-specifications,verify formal ICT specifications,skill/competence,sector-specific,key_14142,"Check capabilities, correctness and efficiency of intended algorithm or system to match certain formal specifications."
design-enterprise-architecture,design enterprise architecture,skill/competence,sector-specific,key_14143,"Analyse the business structure and provide a logical organisation of business processes and information infrastructure. Apply principles and practices which help organisations to realise their strategies, respond to disruptions and achieve their goals."
align-efforts-towards-business-development,align efforts towards business development,skill/competence,cross-sector,key_14161,"Synchronise the efforts, plans, strategies, and actions carried out in departments of companies towards the growth of business and its turnover. Keep business development as the ultimate outcome of any effort of the company."
apply-control-process-statistical-methods,apply control process statistical methods,skill/competence,cross-sector,key_14163,Apply statistical methods from Design of Experiments (DOE) and Statistical Process Control (SPC) in order to control manufacturing processes.
saas-service-oriented-modelling,SaaS (service-oriented modelling),knowledge,sector-specific,key_14173,"The SaaS model consists of principles and fundamentals of service-oriented modelling for business and software systems that allow the design and specification of service-oriented business systems within a variety of architectural styles, such as enterprise architecture."
develop-animations,develop animations,skill/competence,sector-specific,key_14177,"Design and develop visual animations using creativity and computer skills. Make objects or characters appear lifelike by manipulating light, colour, texture, shadow, and transparency, or manipulating static images to give the illusion of motion."
mobile-marketing,mobile marketing,knowledge,sector-specific,key_14183,"The study of marketing which uses mobile devices as a communication channel. This approach can provide potential customers with personalised information (using location or time context) which promotes products, services or ideas."
special-needs-education,special needs education,knowledge,cross-sector,key_14191,"The teaching methods, equipment and settings used to support students with special needs in achieving succes in school or community."
enhance-website-visibility,enhance website visibility,skill/competence,cross-sector,key_14207,"Promote the website to users, business partners and search engines. Optimise the website exposure to search engines, send out emails, determine pricing and policies and conduct marketing actions."
mechanics,mechanics,knowledge,cross-sector,key_14216,Theoretical and practical applications of the science studying the action of displacements and forces on physical bodies to the development of machinery and mechanical devices.
education-administration,education administration,knowledge,cross-sector,key_14219,"The processes related to the administrative areas of an education institution, its director, employees, and students."
ensure-conformity-to-specifications,ensure conformity to specifications,skill/competence,cross-sector,key_14230,Ensure that the assembled products are conform to the specifications given.
keep-up-with-trends,keep up with trends,skill/competence,cross-sector,key_14235,Monitor and follow new trends and developments in specific sectors.
manage-ict-data-classification,manage ICT data classification,skill/competence,sector-specific,key_1424,Oversee the classification system an organisation uses to organise its data. Assign an owner to each data concept or bulk of concepts and determine the value of each item of data.
insourcing-strategy,insourcing strategy,knowledge,sector-specific,key_14242,"The high level planning for managing and optimising business processes internally, usually in order to maintain control of critical aspects of work."
nexpose,Nexpose,knowledge,sector-specific,key_14246,"The computer program Nexpose is a specialised ICT tool which tests security weaknesses of the system for potentially unauthorised access to system information, developed by the software company Rapid7."
perform-clinical-coding-procedures,perform clinical coding procedures,skill/competence,sector-specific,key_14255,Match and record correctly the specific illnesses and treatments of a patient by using a clinical codes classification system.
manage-standard-enterprise-resource-planning-system,manage standard enterprise resource planning system,skill/competence,sector-specific,key_14260,"Collect, manage and interpret data relevant for companies related to shipping, payment, inventory, resources and manufacturing using specific business management software. Such software as Microsoft Dynamics​, SAP ERP, Oracle ERP."
