skill_id,skill_name,skill_type,reuse_level,description
audiovisual-products,audiovisual products,knowledge,sector-specific,"The different types of audiovisual products and their requirements, such as documentaries, low budget movies, television series, records, CDs, and others."
audit-techniques,audit techniques,knowledge,cross-sector,"The techniques and methods that support a systematic and independent examination of data, policies, operations and performances using computer-assisted audit tools and techniques (CAATs) such as spreadsheets, databases, statistical analysis and business intelligence software."
augmented-reality,augmented reality,knowledge,cross-sector,"The process of adding diverse digital content (such as images, 3D objects, etc) on surfaces that exist in the real world. The user can interact in real-time with the technology by using devices such as mobile phones."
authoring-software,authoring software,knowledge,cross-sector,"The software that provides pre-programmed elements which allow the development of interactive multimedia applications in order to edit, structure and lay out content intended for publication."
automate-cloud-tasks,automate cloud tasks,skill/competence,sector-specific,Automate manual or repeatable processes to minimize management overhead. Evaluate cloud automation alternatives for network deployments and tool-based alternatives for network operations and management.
automation-technology,automation technology,knowledge,cross-sector,"Set of technologies that make a process, system, or apparatus operate automatically through the use of control systems."
backbox-penetration-testing-tool,Backbox (penetration testing tool),knowledge,sector-specific,"The software BackBox is a Linux distribution which tests security weaknesses of the system for potentially unauthorised access to system information by information gathering, forensic, wireless and VoIP analysis, exploitation and reverse engineering."
balance-database-resources,balance database resources,skill/competence,sector-specific,"Stabilise the workload and resources of a database, by controlling the demand of transactions, allocating disk spaces and ensuring reliability of the servers in order to optimise cost and risk ratio."
behavioural-disorders,behavioural disorders,knowledge,cross-sector,"The often emotionally disruptive types of behaviour a child or adult can show, such as attention deficit hyperactivity disorder (ADHD) or oppositional defiant disorder (ODD)."
behavioural-science,behavioural science,knowledge,cross-sector,The investigation and analysis of subject behaviour through regulated and lifelike observations and disciplined scientific experiments.
blackarch,BlackArch,knowledge,sector-specific,The BlackArch Linux distribution is a penetration testing tool which tests security weaknesses of the system for potentially unauthorised access to system information.
blackberry,BlackBerry,knowledge,sector-specific,"The system software BlackBerry consists of features, restrictions, architectures and other characteristics of operating systems designed to run on mobile devices."
blockchain-consensus-mechanisms,blockchain consensus mechanisms,knowledge,sector-specific,The different mechanisms and their characteristics that ensure a transaction is propagated correctly in the distributed ledger.
blockchain-openness,blockchain openness,knowledge,sector-specific,"The different levels of openness of a blockchain, their differences, and their advantages and disadvantages. Examples are permissionless, permissioned, and hybrid blockchains"
blockchain-platforms,blockchain platforms,knowledge,sector-specific,"The different integrated infrastructures, each with their own characteristics, that allow the development of blockchain applications. Examples are multichain, ehtereum, hyperledger, corda, ripple, openchain, etc."
blueprints,blueprints,knowledge,cross-sector,"Must be able to read and understand blueprints, drawings and plans and maintain simple written records."
brainstorm-ideas,brainstorm ideas,skill/competence,cross-sector,"Pitch your ideas and concepts to fellow members of the creative team in order to come up with alternatives, solutions and better versions."
brand-marketing-techniques,brand marketing techniques,knowledge,cross-sector,The methods and systems used in researching and establishing a brand identity for marketing purposes.
brightspace-learning-management-systems,Brightspace (learning management systems),knowledge,sector-specific,"The computer program Brightspace is a e-learning platform for creating, administrating, arranging, reporting and delivering e-learning education courses or training programs. It is developed by the software company D2L Corporation."
broadcast-equipment,broadcast equipment,knowledge,sector-specific,"The use and operation of broadcast equipment such as broadcast consoles, routers, microphones, dual compressors, and other machinery."
broadcast-using-internet-protocol,broadcast using Internet Protocol,skill/competence,occupation-specific,Manage broadcasting over the internet by properly using the Internet Protocol in order to ensure the broadcast is accessible to users.
build-business-relationships,build business relationships,skill/competence,cross-sector,"Establish a positive, long-term relationship between organisations and interested third parties such as suppliers, distributors, shareholders and other stakeholders in order to inform them of the organisation and its objectives."
build-predictive-models,build predictive models,skill/competence,sector-specific,Create models to predict the probability of an outcome.
build-recommender-systems,build recommender systems,skill/competence,occupation-specific,Construct recommendation systems based on large data sets using programming languages or computer tools to create a subclass of information filtering system that seeks to predict the rating or preference a user gives to an item.
business-analysis,business analysis,knowledge,cross-sector,"The research field which addresses the identification of business needs and problems and the determination of the solutions that would mitigate or prevent the smooth functioning of a business. Business analysis comprises IT solutions, market challenges, policy development and strategic matters."
business-ict-systems,business ICT systems,knowledge,sector-specific,"The software packages, hardware devices and new technologies used in supporting business processes such as enterprise resource planning (ERP), customer relationship management (CRM), mobile devices and network solutions."
business-intelligence,business intelligence,knowledge,cross-sector,The tools used to transform large amounts of raw data into relevant and helpful business information.
business-process-modelling,business process modelling,knowledge,sector-specific,"The tools, methods and notations such as Business Process Model and Notation (BPMN) and Business Process Execution Language (BPEL), used to describe and analyse the characteristics of a business process and model its further development."
business-processes,business processes,knowledge,cross-sector,"Processes which an organisation applies to improve efficiency, set new objectives and reach goals in a profitable and timely manner."
business-requirements-techniques,business requirements techniques,knowledge,sector-specific,The procedures required to identify and analyse business and organisational needs.
business-strategy-concepts,business strategy concepts,knowledge,cross-sector,"The terminology related to the design and implementation of major trends and aims which are taken by an organisation's executives, while keeping in mind its resources, competition and environments."
c-2,C#,knowledge,sector-specific,"The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in C#."
c,C++,knowledge,sector-specific,"The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in C++."
ca-datacom-db,CA Datacom/DB,knowledge,sector-specific,"The computer program CA Datacom/DB is a tool for creating, updating and managing databases, currently developed by the software company CA Technologies."
cad-for-garment-manufacturing,CAD for garment manufacturing,knowledge,sector-specific,Softwares of computer aided design for garment manufacturing which allow create 2 or 3 dimensional drawings.
cad-software,CAD software,knowledge,cross-sector,"The computer-aided design (CAD) software for creating, modifying, analysing or optimising a design."
cadd-software,CADD software,knowledge,cross-sector,The computer-aided design and drafting (CADD) is the use of computer technology for design and design documentation. CAD software replaces manual drafting with an automated process.
cae-software,CAE software,knowledge,cross-sector,The software to perform computer-aided engineering (CAE) analysis tasks such as Finite Element Analysis and Computional Fluid Dynamics.
cain-and-abel-penetration-testing-tool,Cain and Abel (penetration testing tool),knowledge,sector-specific,"The software tool Cain and Abel is a password recovery tool which tests the Microsoft Operating System for security weaknesses and potentially unauthorised access to system information. The tool decodes, decrypts and uncovers passwords by means such as brute-force and cryptanalysis attacks, network sniffing and protocols analysis."
calculate-design-costs,calculate design costs,skill/competence,sector-specific,Calculate design costs to make sure the project is financially viable.
calculate-materials-to-build-equipment,calculate materials to build equipment,skill/competence,cross-sector,Determine the amount and the kind of materals necessary to build certain machines or equipment.
calibrate-electronic-instruments,calibrate electronic instruments,skill/competence,cross-sector,Correct and adjust the reliability of an electronic instrument by measuring output and comparing results with the data of a reference device or a set of standardised results. This is done in regular intervals which are set by the manufacturer and using calibration devices.
calibrate-mechatronic-instruments,calibrate mechatronic instruments,skill/competence,sector-specific,Correct and adjust the reliability of an mechatronic instrument by measuring output and comparing results with the data of a reference device or a set of standardised results. This is done in regular intervals which are set by the manufacturer.
call-quality-assurance-management,call quality assurance management,knowledge,cross-sector,Recording systems and monitoring procedures used in keeping track of call quality and methods for improvement.
cam-software,CAM software,knowledge,sector-specific,"Different tools for computer-aided manufacturing (CAM) to control machinery and machine tools in the creation, modification, analysis, or optimisation as part of the manufacturing processes of workpieces."
canvas-learning-management-systems,Canvas (learning management systems),knowledge,sector-specific,"The Canvas network is an e-learning platform for creating, administrating, arranging, reporting and delivering e-learning education courses or training programs."
capture-one,Capture One,knowledge,sector-specific,The computer program Capture One is a graphical ICT tool which enables digital editing and composition of graphics to generate both 2D raster or 2D vector graphics.
carry-out-environmental-audits,carry out environmental audits,skill/competence,cross-sector,Use equipment to measure various environmental parameters in order to identify environmental problems and investigate manners in which they can be resolved. Perform inspections in order to ensure compliance with environmental legislation.
carry-out-forum-moderation,carry out forum moderation,skill/competence,cross-sector,"Supervise communication activity on a web forum and other discussion platforms by assessing if the content adheres to forum regulations, enforcing rules of conduct, and ensuring the forum remains free of illegal material and conflict."
carry-out-project-activities,carry out project activities,skill/competence,cross-sector,Carry out project activities based on the project work plan and schedule. Assist in the development and execution of project plans.
carry-out-statistical-forecasts,carry out statistical forecasts,skill/competence,cross-sector,"Undertake a systematic statistical examination of data representing past observed behaviour of the system to be forecast, including observations of useful predictors outside the system."
carry-out-strategic-research,carry out strategic research,skill/competence,cross-sector,Research long term possibilities for improvements and plan steps to achieve them.
carry-out-tendering,carry out tendering,skill/competence,cross-sector,"Place the request for a quotation to the organisation requesting a tender, then perform the work or supply the goods agreed with them during the tendering process."
channel-marketing,channel marketing,knowledge,cross-sector,"The strategies and practices, including channel sales, that involve distributing products directly and indirectly through partners in order to bring the products to the end consumer."
characteristics-of-products,characteristics of products,knowledge,sector-specific,"The tangible characteristics of a product such as its materials, properties and functions, as well as its different applications, features, use and support requirements."
characteristics-of-services,characteristics of services,knowledge,sector-specific,"The characteristics of a service that might include having acquired information about its application, function, features, use and support requirements."
check-film-reels,check film reels,skill/competence,occupation-specific,Check the condition of film reels upon arrival and register them according company guidelines.
check-system-parameters-against-reference-values,check system parameters against reference values,skill/competence,cross-sector,Make sure that the measurable factors which define the operation of a system correspond to the predetermined norms.
chef-tools-for-software-configuration-management,Chef (tools for software configuration management),knowledge,sector-specific,"The tool Chef is a software program which performs infrastructure configuration identification, control and automation aiming to ease the applications deployment."
cinematography,cinematography,knowledge,sector-specific,The science of recording light and electromagnetic radiation in order to create a motion picture. The recording can happen electronically with an image sensor or chemically on light sensitive materials such as film stock.
circuit-diagrams,circuit diagrams,knowledge,sector-specific,"Read and comprehend circuit diagrams showing the connections between the devices, such as power and signal connections."
cisco,Cisco,knowledge,sector-specific,The products available from the network equipment provider Cisco and methods for selecting and procuring the equipment.
clean-equipment,clean equipment,skill/competence,cross-sector,Perform cleaning routines after equipment use.
clinical-reports,clinical reports,knowledge,sector-specific,"The methods, assessment practices, credentials and opinions gathering procedures necessary for writing clinical reports."
clinical-science,clinical science,knowledge,sector-specific,"The research and development of the techniques and equipment used by medical staff to prevent, diagnose and treat illness."
cloud-monitoring-and-reporting,cloud monitoring and reporting,knowledge,sector-specific,"The metrics and alarms utilizing cloud monitoring services, in particular performance and availability metrics."
cloud-security-and-compliance,cloud security and compliance,knowledge,sector-specific,"Cloud security and compliance concepts, including shared responsibility model, cloud access management capabilities, and resources for security support."
cloud-technologies,cloud technologies,knowledge,sector-specific,"The technologies which enable access to hardware, software, data and services through remote servers and software networks irrespective of their location and architecture."
coach-clients,coach clients,skill/competence,cross-sector,Actively help clients to improve their strengths and confidence. Propose courses and workshops or coach them yourself.
coach-employees,coach employees,skill/competence,cross-sector,"Maintain and improve employees' performance by coaching individuals or groups how to optimise specific methods, skills or abilities, using adapted coaching styles and methods. Tutor newly recruited employees and assist them in the learning of new business systems."
coach-staff-for-running-the-performance,coach staff for running the performance,skill/competence,sector-specific,Give instructions to all team members about how they should run the performance.
cobol,COBOL,knowledge,sector-specific,"The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in COBOL."
codenvy,Codenvy,knowledge,sector-specific,The tool Codenvy is a platform used to create on-demand workspaces in the cloud where developers can collaborate on coding projects and work together before they merge their work to the main repository.
coffeescript,CoffeeScript,knowledge,sector-specific,"The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in CoffeeScript."
cognitive-psychology,cognitive psychology,knowledge,cross-sector,"The human mental processes such as attention, memory, language use, perception, problem solving, creativity and thinking."
collaborate-in-the-development-of-marketing-strategies,collaborate in the development of marketing strategies,skill/competence,cross-sector,Work together with a group of professionals to develop marketing strategies performing market analysis and financial viability while staying aligned with the company's goals.
collaborate-on-costume-and-make-up-for-performances,collaborate on costume and make-up for performances,skill/competence,cross-sector,Work with the staff responsible for costumes and make up in line with their creative vision and obtain directions from them about how make-up and costumes should look.
collaborate-with-a-technical-staff-in-artistic-productions,collaborate with a technical staff in artistic productions,skill/competence,cross-sector,"Coordinate your artistic activities with others who specialise in the technical side of the project. Inform the technical staff of your plans and methods and obtain feedback on feasibility, cost, procedures and other relevant information. Be able to understand the vocabulary and the practises about technical issues"
collaborate-with-music-librarians,collaborate with music librarians,skill/competence,sector-specific,Communicate and work together with music librarians to ensure permanent availability of scores.
collect-customer-feedback-on-applications,collect customer feedback on applications,skill/competence,cross-sector,Gather a response and analyse data from customers to identify requests or problems in order to improve applications and overall customer satisfaction.
collect-cyber-defence-data,collect cyber defence data,skill/competence,sector-specific,"Collect data for cyber defence using various data collection tools. Data may be gathered from a number of internal or external sources such as online trade records, DNS request logs, email servers' logs, digital communications packet capturing, deep web resources, etc."
collect-healthcare-user-s-general-data,collect healthcare user's general data,skill/competence,sector-specific,Collect qualitative and quantitative data related to the healthcare user's anagraphic data and provide support on filling out the present and past history questionnaire and record the measures/tests performed by the practitioner.
collect-ict-data,collect ICT data,skill/competence,cross-sector,Gather data by designing and applying search and sampling methods.
common-aviation-safety-regulations,common aviation safety regulations,knowledge,sector-specific,"The body of legislation and regulations that apply to the field of civil aviation at regional, national, European and International levels. Understand that regulations aimed at protecting citizens at all times in civil aviation; ensure that operators, citizens, and organisations comply with these rules."
common-lisp,Common Lisp,knowledge,sector-specific,"The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in Common Lisp."
communicate-analytical-insights,communicate analytical insights,skill/competence,sector-specific,"Obtain analytical insights and share them with relevant teams, in order to enable them to optimise supply chain (SC) operations and planning."
communicate-during-show,communicate during show,skill/competence,sector-specific,"Communicate efficiently with other professionals during a live performance show, anticipating any possible malfunctioning."
communicate-in-air-traffic-services,communicate in air traffic services,skill/competence,sector-specific,Ensure the implementation of an efficient communication exchange in air traffic services (ATS) involving airport movement areas. Follow procedures within the network.
communicate-in-foreign-languages-with-health-service-providers,communicate in foreign languages with health service providers,skill/competence,cross-sector,Apply foreign languages in communicating with health service providers such as doctors and nurses.
communicate-in-healthcare,communicate in healthcare,skill/competence,cross-sector,"Communicate effectively with patients, families and other caregivers, health care professionals, and community partners."
communicate-test-results-to-other-departments,communicate test results to other departments,skill/competence,cross-sector,"Communicate testing information such as testing schedules, samples testing statistics and test results, to the relevant departments."
communicate-with-a-non-scientific-audience,communicate with a non-scientific audience ,skill/competence,cross-sector,"Communicate about scientific findings to a non-scientific audience, including the general public. Tailor the communication of scientific concepts, debates, findings to the audience, using a variety of methods for different target groups, including visual presentations."
communicate-with-customers,communicate with customers,skill/competence,cross-sector,"Respond to and communicate with customers in the most efficient and appropriate manner to enable them to access the desired products or services, or any other help they may require."
communication-disorders,communication disorders,knowledge,cross-sector,"The malfunction in a person's ability to comprehend, process and share concepts in various forms, such as verbal, non verbal or graphical during language, hearing, and speech communication processes."
company-policies,company policies,knowledge,sector-specific,The set of rules that govern the activity of a company.
compare-contractors-bids,compare contractors' bids,skill/competence,cross-sector,Compare proposals to award a contract in order to execute specified jobs within a prescribed frame of time.
competition-law,competition law,knowledge,cross-sector,The legal regulations that maintain market competition by regulating anti-competitive behaviour of companies and organisations.
compile-content,compile content,skill/competence,cross-sector,"Retrieve, select and organise content from specific sources, according to the requirements of the output media such as printed materials, online applications, platforms, websites and video."
compile-course-material,compile course material,skill/competence,cross-sector,"Write, select or recommend a syllabus of learning material for the students enrolled in the course."
comply-with-legal-regulations,comply with legal regulations,skill/competence,cross-sector,"Ensure you are properly informed of the legal regulations that govern a specific activity and adhere to its rules, policies and laws."
comply-with-legislation-related-to-health-care,comply with legislation related to health care,skill/competence,cross-sector,"Comply with the regional and national health legislation which regulates relations between suppliers, payers, vendors of the healthcare industry and patients, and the delivery of healthcare services."
comply-with-quality-standards-related-to-healthcare-practice,comply with quality standards related to healthcare practice,skill/competence,sector-specific,"Apply quality standards related to risk management, safety procedures, patients feedback, screening and medical devices in daily practice, as they are recognized by the national professional associations and authorities."
compose-description-for-web-elements,compose description for web elements,skill/competence,occupation-specific,"Create texts to convey the message of a web element, such as images or frames, even in cases when it cannot be displayed to the user."
compose-digital-game-story,compose digital game story,skill/competence,occupation-specific,Create a digital game story by writing out a detailed plot and storyboard with descriptions and gameplay objectives.
computer-engineering,computer engineering,knowledge,cross-sector,"Engineering discipline that combines computer science with electrical engineering to develop computer hardware and software. Computer engineering occupies itself with electronics, software design, and the integration of hardware and software."
computer-equipment,computer equipment,knowledge,sector-specific,"The offered computers, computer peripheral equipment and software products, their functionalities, properties and legal and regulatory requirements."
computer-forensics,computer forensics,knowledge,sector-specific,The process of examining and recovering digital data from sources for legal evidence and crime investigation.
computer-history,computer history,knowledge,sector-specific,The history of computer development framed in a digitising society.
computer-programming,computer programming,knowledge,cross-sector,"The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms (e.g. object oriented programming, functional programming) and of programming languages."
computer-science,computer science,knowledge,cross-sector,"The scientific and practical study that deals with the foundations of information and computation, namely algorithms, data structures, programming, and data architecture. It deals with the practicability, structure and mechanisation of the methodical procedures that manage the acquisition, processing, and access to information."
computer-technology,computer technology,knowledge,cross-sector,"Computers, computer networks and other information technologies and equipment that can store, retrieve, transmit and manipulate data."
computer-vision,computer vision,knowledge,cross-sector,"The definition and functioning of computer vision. Computer vision tools to allow computers to extract information from digital images such as photographs or video. Areas of application to solve real-world problems like security, autonomous driving, robotic manufacturing and inspection, digital image classification, medical image processing and diagnosis, and others."
concepts-of-telecommunications,concepts of telecommunications,knowledge,sector-specific,"The telecommunication principles, theories, models, equipment and processes such as transfer rate, bandwidth, signal-to-noise ratio, bit error ratio and C/N ratio, as well as the effect of the qualities of the transmission path on the operation and quality of telecommunications."
conditions-for-professional-practice-of-clinical-psychology,conditions for professional practice of clinical psychology,knowledge,sector-specific,"The institutional, legal and psychosocial conditions for professional practice of clinical psychology with the aim to apply them in the exercise of the psychological profession in health care."
conduct-clinical-software-research,conduct clinical software research,skill/competence,occupation-specific,"Oversee and undertake the necessary research to succesfully purchase, design, develop, test, train and implement software regarding clinical care and according to health plans guidelines."
conduct-content-quality-assurance,conduct content quality assurance,skill/competence,cross-sector,"Carry out validation of content by reviewing it according to formal and functional quality, usability and applicable standards."
conduct-costume-research,conduct costume research,skill/competence,sector-specific,"Ensure that costumes and pieces of clothing in visual artistic productions are historically correct. Conduct research and study primary sources in literature, pictures, museums, newspapers, paintings, etc."
conduct-environmental-surveys,conduct environmental surveys,skill/competence,cross-sector,Conduct surveys in order to collect information for analysis and management of environmental risks within an organisation or in a wider context.
conduct-ict-code-review,conduct ICT code review,skill/competence,sector-specific,Examine and review systematically computer source code to identify errors in any stage of development and to improve the overall software quality.
conduct-impact-evaluation-of-ict-processes-on-business,conduct impact evaluation of ICT processes on business,skill/competence,cross-sector,Evaluate the tangible consequences of the implementation of new ICT systems and functions on the current business structure and organisational procedures.
conduct-literature-research,conduct literature research,skill/competence,cross-sector,Conduct a comprehensive and systematic research of information and publications on a specific literature topic. Present a comparative evaluative literature summary.
conduct-mobile-marketing,conduct mobile marketing,skill/competence,cross-sector,Conduct mobile marketing using a mobile device e.g. tablet or smartphone. Gather personalised information and transfer it to customers in order to promote services or goods.
conduct-online-competitive-analysis,conduct online competitive analysis,skill/competence,sector-specific,Assess strengths and weaknesses of current and potential competitors. Analyse competitors' web strategies.
conduct-performance-tests,conduct performance tests,skill/competence,cross-sector,"Conduct experimental, environmental and operational tests on models, prototypes or on the systems and equipment itself in order to test their strength and capabilities under normal and extreme conditions."
conduct-qualitative-research,conduct qualitative research,skill/competence,cross-sector,"Gather relevant information by applying systematic methods, such as interviews, focus groups, text analysis, observations and case studies."
conduct-quality-control-analysis,conduct quality control analysis,skill/competence,cross-sector,"Conduct inspections and tests of services, processes, or products to evaluate quality."
conduct-quantitative-research,conduct quantitative research,skill/competence,cross-sector,"Execute a systematic empirical investigation of observable phenomena via statistical, mathematical or computational techniques."
conduct-research-across-disciplines,conduct research across disciplines,skill/competence,cross-sector,Work and use research findings and data across disciplinary and/or functional boundaries.
conduct-research-interview,conduct research interview,skill/competence,cross-sector,"Use professional researching and interviewing methods and techniques to gather relevant data, facts or information, to gain new insights and to fully comprehend the message of the interviewee."
conduct-scholarly-research,conduct scholarly research,skill/competence,cross-sector,Plan scholarly research by formulating the research question and conducting empirical or literature research in order to investigate the truth of the research question.
conduct-search-engine-optimisation,conduct search engine optimisation,skill/competence,cross-sector,"Execute optimal marketing research and strategies on search engine processes, also known as search engine marketing (SEM), in order to increase online traffic and website exposure."
configure-ict-system,configure ICT system,skill/competence,sector-specific,Set up and customise an ICT system to meet requirements during initial implementation as well as when new business needs arise.
consult-student-s-support-system,consult student's support system,skill/competence,cross-sector,"Communicate with multiple parties, including teachers and the family of the student, to discuss the student's behaviour or academic performance."
consult-with-business-clients,consult with business clients,skill/competence,sector-specific,"Communicate with clients of a business or business project in order to introduce new ideas, obtain feedback, and find solutions to problems."
consult-with-editor,consult with editor,skill/competence,cross-sector,"Consult with the editor of a book, magazine, journal or other publications about expectations, requirements, and progress."
consult-with-production-director,consult with production director,skill/competence,sector-specific,"Consult with the director, producer and clients throughout the production and post-production process."
consult-with-sound-editor,consult with sound editor,skill/competence,sector-specific,Consult on the sounds required with the sound editor.
consult-with-stakeholders-on-implementation-of-a-production,consult with stakeholders on implementation of a production,skill/competence,sector-specific,"Consult with different people and groups who hold a stake in the production. Be on the same page on the practical side of the production, and keep them up to date."
consultation-methods,consultation methods,knowledge,sector-specific,"Techniques used to facilitate clear and open communication and the provision of advice between individuals, communities or the government, such as discussion groups or one-on-one interviews."
consumer-electronics,consumer electronics,knowledge,sector-specific,"The functioning of electronic consumer goods such as TVs, radios, cameras and other audio and video equipment."
contact-customers,contact customers,skill/competence,sector-specific,Contact customers by telephone in order to respond to inquiries or to notify them of claim investigation results or any planned adjustments.
content-development-processes,content development processes,knowledge,cross-sector,"The specialised techniques used to design, write, compile, edit and organise digital content, such as text, graphics and videos for publishing purposes."
content-marketing-strategy,content marketing strategy,knowledge,cross-sector,The process of creation and share of media and publishing content in order to acquire customers.
contextualise-artistic-work,contextualise artistic work,skill/competence,sector-specific,"Identify influences and situate your work within a specific trend which may be of an artistic, aesthetic, or philosophical natures. Analyse the evolution of artistic trends, consult experts in the field, attend events, etc."
contract-law,contract law,knowledge,cross-sector,"The field of legal principles that govern written agreements between parties concerning the exchange of goods or services, including contractual obligations and termination."
contribute-to-continuity-of-health-care,contribute to continuity of health care,skill/competence,sector-specific,Contribute to the delivery of coordinated and continuous healthcare.
control-engineering,control engineering,knowledge,cross-sector,Subdiscipline of engineering that focuses on controlling the behaviour of systems through the use of sensors and actuators.
control-objectives-for-information-and-related-technology,control objectives for information and related technology,knowledge,occupation-specific,"The risk and controls framework such as Control Objectives for Information and Related Technology (COBIT), which supports decision makers to resolve the gap between business risks, requirements and technical issues."
control-of-expenses,control of expenses,skill/competence,cross-sector,"Monitor and maintain effective cost controls, in regards to efficiencies, waste, overtime and staffing. Assessing excesses and strives for efficiency and productivity."
control-production,control production,skill/competence,cross-sector,"Plan, coordinate, and direct all production activities to insure the goods are made on time, in correct order, of adequate quality and composition, starting from intake goods up to shipping."
convert-different-audiovisual-formats,convert different audiovisual formats,skill/competence,cross-sector,Use specialised software to convert data from one audio and/or video format to another.
convert-into-animated-object,convert into animated object,skill/competence,sector-specific,"Convert real objects into visual animation elements, using animation techniques such as optical scanning."
convert-scribbles-into-virtual-sketches,convert scribbles into virtual sketches,skill/competence,occupation-specific,Use software to convert the roughly drawn representation of a design into a two-dimensional geometrical sketch that they can further develop to obtain the final concept.
cooperate-to-resolve-information-issues,cooperate to resolve information issues,skill/competence,occupation-specific,"Meet up and communicate with managers, salesmen, and others to facilitate cooperation and resolve problems."
cooperate-with-education-professionals,cooperate with education professionals,skill/competence,cross-sector,"Communicate with teachers or other professionals working in education in order to identify needs and areas of improvement in education systems, and to establish a collaborative relationship."
coordinate-activities-in-audio-recording-studio,coordinate activities in audio recording studio,skill/competence,cross-sector,Monitor the daily operations in a audio recording studio. Make sure that persons involved in recording studio activities can produce the desired quality of sound according to customer specifications. Ensure the material is maintained and available.
coordinate-educational-programmes,coordinate educational programmes,skill/competence,cross-sector,"Plan and coordinate educational and public outreach programs such as workshops, tours, lectures and classes."
coordinate-engineering-teams,coordinate engineering teams,skill/competence,cross-sector,"Plan, coordinate and supervise engineering activities together with engineers and engineering technicians. Ensure clear and effective channels of communication across all departments. Make sure the team is aware of the standards and objectives of the research and development."
coordinate-manufacturing-production-activities,coordinate manufacturing production activities,skill/competence,cross-sector,"Coordinate manufacturing activities based on production strategies, policies and plans. Study details of the planning such as expected quality of the products, quantities, cost, and labour required to foresee any action needed. Adjust processes and resources to minimise costs."
coordinate-marketing-plan-actions,coordinate marketing plan actions,skill/competence,cross-sector,"Manage the overview of the marketing actions such as the marketing planning, internal financial resource granting, advertising materials, implementation, control, and communication efforts."
coordinate-music-with-scenes,coordinate music with scenes,skill/competence,sector-specific,Coordinate the selection of music and sounds so they match the mood of the scene.
coordinate-purchasing-activities,coordinate purchasing activities,skill/competence,sector-specific,"Coordinate and manage procurement and renting processes including purchasing, renting, planning, tracking and reporting in a cost efficient way on an organisational level."
coordinate-technological-activities,coordinate technological activities,skill/competence,sector-specific,Give instructions to colleagues and other cooperating parties in order to reach the desired outcome of a technological project or achieve set goals within an organisation dealing with technology.
copyright-legislation,copyright legislation,knowledge,cross-sector,"Legislation describing the protection of the rights of original authors over their work, and how others can use it."
corporate-social-responsibility,corporate social responsibility,knowledge,sector-specific,The handling or managing of business processes in a responsible and ethical manner considering the economic responsibility towards shareholders as equally important as the responsibility towards environmental and social stakeholders.
cost-management,cost management,knowledge,sector-specific,"The process of planning, monitoring and adjusting the expenses and revenues of a business in order to achieve cost efficiency and capability."
create-2d-painting,create 2D painting,skill/competence,cross-sector,Produce a drawing by using a range of digital tools.
create-3d-characters,create 3D characters,skill/competence,sector-specific,Develop 3D models by transforming and digitising previously designed characters using specialised 3D tools
create-3d-environments,create 3D environments,skill/competence,sector-specific,"Develop a computer-generated 3D representation of a setting such as simulated environment, where the users interact."
create-3d-texture-map,create 3D texture map,skill/competence,occupation-specific,"Add detail, colour or surface texture to a computer-based 3D-model or graphic."
create-advertisements,create advertisements,skill/competence,sector-specific,"Use your creativity to draft advertiments. Keep in mind the costumer's requirements, target audience, media and marketing objectives."
create-animated-narratives,create animated narratives,skill/competence,sector-specific,"Develop animated narrative sequences and story lines, using computer software and hand drawing techniques."
create-annual-marketing-budget,create annual marketing budget,skill/competence,cross-sector,"Make the calculation of both the income and expenditures that are expected to be paid over the coming year concerning the marketing related activities such as advertising, selling and delivering products to people."
create-business-process-models,create business process models,skill/competence,cross-sector,"Develop formal and informal descriptions of the business processes and the organisational structure by using business process models, notations and tools."
create-clay-figures,create clay figures,skill/competence,cross-sector,Create mobile figures out of clay using different materials and processes.
create-concept-of-digital-game,create concept of digital game,skill/competence,occupation-specific,"Develop and communicate every aspect of overall game vision. Communicate and collaborate with technical crew, artistic and design teams to implement the game vision."
create-content-title,create content title,skill/competence,cross-sector,"Come up with an appealing title that draws people's attention to the content of your article, story or publication."
create-data-models,create data models,skill/competence,sector-specific,"Use specific techniques and methodologies to analyse the data requirements of an organisation's business processes in order to create models for these data, such as conceptual, logical and physical models. These models have a specific structure and format."
create-data-sets,create data sets,skill/competence,cross-sector,Generate a collection of new or existing related data sets that are made up out of separate elements but can be manipulated as one unit.
create-database-diagrams,create database diagrams,skill/competence,sector-specific,Develop the database design models and diagrams which establish the structure of a database by using modelling software tools to be implemented in further processes.
create-digital-game-characters,create digital game characters,skill/competence,occupation-specific,Develop a typology of characters for digital games and identify their exact role in the gameplay and the narrative.
create-digital-images,create digital images,skill/competence,cross-sector,"Create and process two-dimensional and three-dimensional digital images depicting animated objects or illustrating a process, using computer animation or modelling programs."
create-flowchart-diagram,create flowchart diagram,skill/competence,cross-sector,Compose a diagram that illustrates systematic progress through a procedure or system using connecting lines and a set of symbols.
create-gambling-games-concepts,create gambling games concepts,skill/competence,sector-specific,"Imagine the concepts to be used in creating a gambling, betting and lottery game."
